LINK	ANODE	BNODE	LENGTH	SETBACK_A	SETBACK_B	BEARING_A	BEARING_B	TYPE	LANES_AB	LEFT_AB	RIGHT_AB	SPEED_AB	FSPD_AB	CAP_AB	LANES_BA	LEFT_BA	RIGHT_BA	SPEED_BA	FSPD_BA	CAP_BA	USE
35	15	26	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
36	16	27	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
37	17	28	1000.00	0.0	0.0	0	0	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
38	18	29	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
39	19	30	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
40	20	31	1000.00	0.0	0.0	0	0	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
41	21	32	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
42	22	33	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
43	23	24	1000.00	0.0	0.0	90	90	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
44	24	25	1000.00	0.0	0.0	90	90	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
45	25	26	1000.00	0.0	0.0	90	90	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
46	26	27	1000.00	0.0	0.0	90	90	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
47	27	28	1000.00	0.0	0.0	90	90	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
48	28	29	1000.00	0.0	0.0	90	90	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
49	29	30	1000.00	0.0	0.0	90	90	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
50	30	31	1000.00	0.0	0.0	90	90	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
51	31	32	1000.00	0.0	0.0	90	90	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
52	32	33	1000.00	0.0	0.0	90	90	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
53	23	34	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
54	24	35	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
55	25	36	1000.00	0.0	0.0	0	0	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
56	26	37	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
57	27	38	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
58	28	39	1000.00	0.0	0.0	0	0	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
59	29	40	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
60	30	41	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
61	31	42	1000.00	0.0	0.0	0	0	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
62	32	43	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
63	33	44	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
64	34	35	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
65	35	36	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
66	36	37	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
67	37	38	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
68	38	39	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
69	39	40	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
70	40	41	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
71	41	42	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
72	42	43	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
73	43	44	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
74	34	45	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
75	35	46	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
76	36	47	1000.00	0.0	0.0	0	0	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
77	37	48	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
78	38	49	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
79	39	50	1000.00	0.0	0.0	0	0	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
80	40	51	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
81	41	52	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
82	42	53	1000.00	0.0	0.0	0	0	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
83	43	54	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
84	44	55	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
85	45	46	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
86	46	47	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
87	47	48	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
88	48	49	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
89	49	50	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
90	50	51	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
91	51	52	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
92	52	53	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
93	53	54	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
94	54	55	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
95	45	56	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
96	46	57	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
97	47	58	1000.00	0.0	0.0	0	0	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
98	48	59	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
99	49	60	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
100	50	61	1000.00	0.0	0.0	0	0	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
101	51	62	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
102	52	63	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
103	53	64	1000.00	0.0	0.0	0	0	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
104	54	65	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
105	55	66	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
106	56	57	1000.00	0.0	0.0	90	90	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
107	57	58	1000.00	0.0	0.0	90	90	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
108	58	59	1000.00	0.0	0.0	90	90	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
109	59	60	1000.00	0.0	0.0	90	90	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
110	60	61	1000.00	0.0	0.0	90	90	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
111	61	62	1000.00	0.0	0.0	90	90	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
112	62	63	1000.00	0.0	0.0	90	90	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
113	63	64	1000.00	0.0	0.0	90	90	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
114	64	65	1000.00	0.0	0.0	90	90	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
115	65	66	1000.00	0.0	0.0	90	90	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
116	56	67	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
117	57	68	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
118	58	69	1000.00	0.0	0.0	0	0	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
119	59	70	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
120	60	71	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
121	61	72	1000.00	0.0	0.0	0	0	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
122	62	73	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
123	63	74	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
124	64	75	1000.00	0.0	0.0	0	0	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
125	65	76	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
126	66	77	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
127	67	68	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
128	68	69	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
129	69	70	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
130	70	71	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
131	71	72	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
132	72	73	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
133	73	74	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
134	74	75	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
135	75	76	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
136	76	77	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
137	67	78	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
138	68	79	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
139	69	80	1000.00	0.0	0.0	0	0	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
140	70	81	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
141	71	82	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
142	72	83	1000.00	0.0	0.0	0	0	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
143	73	84	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
144	74	85	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
145	75	86	1000.00	0.0	0.0	0	0	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
146	76	87	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
147	77	88	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
148	78	79	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
149	79	80	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
150	80	81	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
151	81	82	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
152	82	83	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
153	83	84	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
154	84	85	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
155	85	86	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
156	86	87	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
157	87	88	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
158	78	89	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
159	79	90	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
160	80	91	1000.00	0.0	0.0	0	0	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
161	81	92	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
162	82	93	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
163	83	94	1000.00	0.0	0.0	0	0	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
164	84	95	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
165	85	96	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
166	86	97	1000.00	0.0	0.0	0	0	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
167	87	98	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
168	88	99	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
169	89	90	1000.00	0.0	0.0	90	90	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
170	90	91	1000.00	0.0	0.0	90	90	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
171	91	92	1000.00	0.0	0.0	90	90	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
172	92	93	1000.00	0.0	0.0	90	90	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
173	93	94	1000.00	0.0	0.0	90	90	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
174	94	95	1000.00	0.0	0.0	90	90	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
175	95	96	1000.00	0.0	0.0	90	90	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
176	96	97	1000.00	0.0	0.0	90	90	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
177	97	98	1000.00	0.0	0.0	90	90	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
178	98	99	1000.00	0.0	0.0	90	90	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
179	89	100	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
180	90	101	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
181	91	102	1000.00	0.0	0.0	0	0	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
182	92	103	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
183	93	104	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
184	94	105	1000.00	0.0	0.0	0	0	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
185	95	106	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
186	96	107	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
187	97	108	1000.00	0.0	0.0	0	0	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
188	98	109	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
189	99	110	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
190	100	101	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
191	101	102	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
192	102	103	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
193	103	104	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
194	104	105	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
195	105	106	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
196	106	107	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
197	107	108	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
198	108	109	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
199	109	110	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
200	100	111	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
201	101	112	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
