PARKING	LINK	NODE	OFFSET	TYPE	USE	SPACE	START	END	HOURLY	DAILY
35	18	19	500.00	LOT	ANY	0	ALL	ALL	0	0
36	18	8	500.00	LOT	ANY	0	ALL	ALL	0	0
37	19	20	500.00	LOT	ANY	0	ALL	ALL	0	0
38	19	9	500.00	LOT	ANY	0	ALL	ALL	0	0
39	20	21	500.00	LOT	ANY	0	ALL	ALL	0	0
40	20	10	500.00	LOT	ANY	0	ALL	ALL	0	0
41	21	22	500.00	LOT	ANY	0	ALL	ALL	0	0
42	21	11	500.00	LOT	ANY	0	ALL	ALL	0	0
43	22	13	500.00	LOT	ANY	0	ALL	ALL	0	0
44	22	12	500.00	LOT	ANY	0	ALL	ALL	0	0
45	23	14	500.00	LOT	ANY	0	ALL	ALL	0	0
46	23	13	500.00	LOT	ANY	0	ALL	ALL	0	0
47	24	15	500.00	LOT	ANY	0	ALL	ALL	0	0
48	24	14	500.00	LOT	ANY	0	ALL	ALL	0	0
49	25	16	500.00	LOT	ANY	0	ALL	ALL	0	0
50	25	15	500.00	LOT	ANY	0	ALL	ALL	0	0
51	26	17	500.00	LOT	ANY	0	ALL	ALL	0	0
52	26	16	500.00	LOT	ANY	0	ALL	ALL	0	0
53	27	18	500.00	LOT	ANY	0	ALL	ALL	0	0
54	27	17	500.00	LOT	ANY	0	ALL	ALL	0	0
55	28	19	500.00	LOT	ANY	0	ALL	ALL	0	0
56	28	18	500.00	LOT	ANY	0	ALL	ALL	0	0
57	29	20	500.00	LOT	ANY	0	ALL	ALL	0	0
58	29	19	500.00	LOT	ANY	0	ALL	ALL	0	0
59	30	21	500.00	LOT	ANY	0	ALL	ALL	0	0
60	30	20	500.00	LOT	ANY	0	ALL	ALL	0	0
61	31	22	500.00	LOT	ANY	0	ALL	ALL	0	0
62	31	21	500.00	LOT	ANY	0	ALL	ALL	0	0
63	32	23	500.00	LOT	ANY	0	ALL	ALL	0	0
64	32	12	500.00	LOT	ANY	0	ALL	ALL	0	0
65	33	24	500.00	LOT	ANY	0	ALL	ALL	0	0
66	33	13	500.00	LOT	ANY	0	ALL	ALL	0	0
67	34	25	500.00	LOT	ANY	0	ALL	ALL	0	0
68	34	14	500.00	LOT	ANY	0	ALL	ALL	0	0
69	35	26	500.00	LOT	ANY	0	ALL	ALL	0	0
70	35	15	500.00	LOT	ANY	0	ALL	ALL	0	0
71	36	27	500.00	LOT	ANY	0	ALL	ALL	0	0
72	36	16	500.00	LOT	ANY	0	ALL	ALL	0	0
73	37	28	500.00	LOT	ANY	0	ALL	ALL	0	0
74	37	17	500.00	LOT	ANY	0	ALL	ALL	0	0
75	38	29	500.00	LOT	ANY	0	ALL	ALL	0	0
76	38	18	500.00	LOT	ANY	0	ALL	ALL	0	0
77	39	30	500.00	LOT	ANY	0	ALL	ALL	0	0
78	39	19	500.00	LOT	ANY	0	ALL	ALL	0	0
79	40	31	500.00	LOT	ANY	0	ALL	ALL	0	0
80	40	20	500.00	LOT	ANY	0	ALL	ALL	0	0
81	41	32	500.00	LOT	ANY	0	ALL	ALL	0	0
82	41	21	500.00	LOT	ANY	0	ALL	ALL	0	0
83	42	33	500.00	LOT	ANY	0	ALL	ALL	0	0
84	42	22	500.00	LOT	ANY	0	ALL	ALL	0	0
85	43	24	500.00	LOT	ANY	0	ALL	ALL	0	0
86	43	23	500.00	LOT	ANY	0	ALL	ALL	0	0
87	44	25	500.00	LOT	ANY	0	ALL	ALL	0	0
88	44	24	500.00	LOT	ANY	0	ALL	ALL	0	0
89	45	26	500.00	LOT	ANY	0	ALL	ALL	0	0
90	45	25	500.00	LOT	ANY	0	ALL	ALL	0	0
91	46	27	500.00	LOT	ANY	0	ALL	ALL	0	0
92	46	26	500.00	LOT	ANY	0	ALL	ALL	0	0
93	47	28	500.00	LOT	ANY	0	ALL	ALL	0	0
94	47	27	500.00	LOT	ANY	0	ALL	ALL	0	0
95	48	29	500.00	LOT	ANY	0	ALL	ALL	0	0
96	48	28	500.00	LOT	ANY	0	ALL	ALL	0	0
97	49	30	500.00	LOT	ANY	0	ALL	ALL	0	0
98	49	29	500.00	LOT	ANY	0	ALL	ALL	0	0
99	50	31	500.00	LOT	ANY	0	ALL	ALL	0	0
100	50	30	500.00	LOT	ANY	0	ALL	ALL	0	0
101	51	32	500.00	LOT	ANY	0	ALL	ALL	0	0
102	51	31	500.00	LOT	ANY	0	ALL	ALL	0	0
103	52	33	500.00	LOT	ANY	0	ALL	ALL	0	0
104	52	32	500.00	LOT	ANY	0	ALL	ALL	0	0
105	53	34	500.00	LOT	ANY	0	ALL	ALL	0	0
106	53	23	500.00	LOT	ANY	0	ALL	ALL	0	0
107	54	35	500.00	LOT	ANY	0	ALL	ALL	0	0
108	54	24	500.00	LOT	ANY	0	ALL	ALL	0	0
109	55	36	500.00	LOT	ANY	0	ALL	ALL	0	0
110	55	25	500.00	LOT	ANY	0	ALL	ALL	0	0
111	56	37	500.00	LOT	ANY	0	ALL	ALL	0	0
112	56	26	500.00	LOT	ANY	0	ALL	ALL	0	0
113	57	38	500.00	LOT	ANY	0	ALL	ALL	0	0
114	57	27	500.00	LOT	ANY	0	ALL	ALL	0	0
115	58	39	500.00	LOT	ANY	0	ALL	ALL	0	0
116	58	28	500.00	LOT	ANY	0	ALL	ALL	0	0
117	59	40	500.00	LOT	ANY	0	ALL	ALL	0	0
118	59	29	500.00	LOT	ANY	0	ALL	ALL	0	0
119	60	41	500.00	LOT	ANY	0	ALL	ALL	0	0
120	60	30	500.00	LOT	ANY	0	ALL	ALL	0	0
121	61	42	500.00	LOT	ANY	0	ALL	ALL	0	0
122	61	31	500.00	LOT	ANY	0	ALL	ALL	0	0
123	62	43	500.00	LOT	ANY	0	ALL	ALL	0	0
124	62	32	500.00	LOT	ANY	0	ALL	ALL	0	0
125	63	44	500.00	LOT	ANY	0	ALL	ALL	0	0
126	63	33	500.00	LOT	ANY	0	ALL	ALL	0	0
127	64	35	500.00	LOT	ANY	0	ALL	ALL	0	0
128	64	34	500.00	LOT	ANY	0	ALL	ALL	0	0
129	65	36	500.00	LOT	ANY	0	ALL	ALL	0	0
130	65	35	500.00	LOT	ANY	0	ALL	ALL	0	0
131	66	37	500.00	LOT	ANY	0	ALL	ALL	0	0
132	66	36	500.00	LOT	ANY	0	ALL	ALL	0	0
133	67	38	500.00	LOT	ANY	0	ALL	ALL	0	0
134	67	37	500.00	LOT	ANY	0	ALL	ALL	0	0
135	68	39	500.00	LOT	ANY	0	ALL	ALL	0	0
136	68	38	500.00	LOT	ANY	0	ALL	ALL	0	0
137	69	40	500.00	LOT	ANY	0	ALL	ALL	0	0
138	69	39	500.00	LOT	ANY	0	ALL	ALL	0	0
139	70	41	500.00	LOT	ANY	0	ALL	ALL	0	0
140	70	40	500.00	LOT	ANY	0	ALL	ALL	0	0
141	71	42	500.00	LOT	ANY	0	ALL	ALL	0	0
142	71	41	500.00	LOT	ANY	0	ALL	ALL	0	0
143	72	43	500.00	LOT	ANY	0	ALL	ALL	0	0
144	72	42	500.00	LOT	ANY	0	ALL	ALL	0	0
145	73	44	500.00	LOT	ANY	0	ALL	ALL	0	0
146	73	43	500.00	LOT	ANY	0	ALL	ALL	0	0
147	74	45	500.00	LOT	ANY	0	ALL	ALL	0	0
148	74	34	500.00	LOT	ANY	0	ALL	ALL	0	0
149	75	46	500.00	LOT	ANY	0	ALL	ALL	0	0
150	75	35	500.00	LOT	ANY	0	ALL	ALL	0	0
151	76	47	500.00	LOT	ANY	0	ALL	ALL	0	0
152	76	36	500.00	LOT	ANY	0	ALL	ALL	0	0
153	77	48	500.00	LOT	ANY	0	ALL	ALL	0	0
154	77	37	500.00	LOT	ANY	0	ALL	ALL	0	0
155	78	49	500.00	LOT	ANY	0	ALL	ALL	0	0
156	78	38	500.00	LOT	ANY	0	ALL	ALL	0	0
157	79	50	500.00	LOT	ANY	0	ALL	ALL	0	0
158	79	39	500.00	LOT	ANY	0	ALL	ALL	0	0
159	80	51	500.00	LOT	ANY	0	ALL	ALL	0	0
160	80	40	500.00	LOT	ANY	0	ALL	ALL	0	0
161	81	52	500.00	LOT	ANY	0	ALL	ALL	0	0
162	81	41	500.00	LOT	ANY	0	ALL	ALL	0	0
163	82	53	500.00	LOT	ANY	0	ALL	ALL	0	0
164	82	42	500.00	LOT	ANY	0	ALL	ALL	0	0
165	83	54	500.00	LOT	ANY	0	ALL	ALL	0	0
166	83	43	500.00	LOT	ANY	0	ALL	ALL	0	0
167	84	55	500.00	LOT	ANY	0	ALL	ALL	0	0
168	84	44	500.00	LOT	ANY	0	ALL	ALL	0	0
169	85	46	500.00	LOT	ANY	0	ALL	ALL	0	0
170	85	45	500.00	LOT	ANY	0	ALL	ALL	0	0
171	86	47	500.00	LOT	ANY	0	ALL	ALL	0	0
172	86	46	500.00	LOT	ANY	0	ALL	ALL	0	0
173	87	48	500.00	LOT	ANY	0	ALL	ALL	0	0
174	87	47	500.00	LOT	ANY	0	ALL	ALL	0	0
175	88	49	500.00	LOT	ANY	0	ALL	ALL	0	0
176	88	48	500.00	LOT	ANY	0	ALL	ALL	0	0
177	89	50	500.00	LOT	ANY	0	ALL	ALL	0	0
178	89	49	500.00	LOT	ANY	0	ALL	ALL	0	0
179	90	51	500.00	LOT	ANY	0	ALL	ALL	0	0
180	90	50	500.00	LOT	ANY	0	ALL	ALL	0	0
181	91	52	500.00	LOT	ANY	0	ALL	ALL	0	0
182	91	51	500.00	LOT	ANY	0	ALL	ALL	0	0
183	92	53	500.00	LOT	ANY	0	ALL	ALL	0	0
184	92	52	500.00	LOT	ANY	0	ALL	ALL	0	0
185	93	54	500.00	LOT	ANY	0	ALL	ALL	0	0
186	93	53	500.00	LOT	ANY	0	ALL	ALL	0	0
187	94	55	500.00	LOT	ANY	0	ALL	ALL	0	0
188	94	54	500.00	LOT	ANY	0	ALL	ALL	0	0
189	95	56	500.00	LOT	ANY	0	ALL	ALL	0	0
190	95	45	500.00	LOT	ANY	0	ALL	ALL	0	0
191	96	57	500.00	LOT	ANY	0	ALL	ALL	0	0
192	96	46	500.00	LOT	ANY	0	ALL	ALL	0	0
193	97	58	500.00	LOT	ANY	0	ALL	ALL	0	0
194	97	47	500.00	LOT	ANY	0	ALL	ALL	0	0
195	98	59	500.00	LOT	ANY	0	ALL	ALL	0	0
196	98	48	500.00	LOT	ANY	0	ALL	ALL	0	0
197	99	60	500.00	LOT	ANY	0	ALL	ALL	0	0
198	99	49	500.00	LOT	ANY	0	ALL	ALL	0	0
199	100	61	500.00	LOT	ANY	0	ALL	ALL	0	0
200	100	50	500.00	LOT	ANY	0	ALL	ALL	0	0
201	101	62	500.00	LOT	ANY	0	ALL	ALL	0	0
202	101	51	500.00	LOT	ANY	0	ALL	ALL	0	0
203	102	63	500.00	LOT	ANY	0	ALL	ALL	0	0
204	102	52	500.00	LOT	ANY	0	ALL	ALL	0	0
205	103	64	500.00	LOT	ANY	0	ALL	ALL	0	0
206	103	53	500.00	LOT	ANY	0	ALL	ALL	0	0
207	104	65	500.00	LOT	ANY	0	ALL	ALL	0	0
208	104	54	500.00	LOT	ANY	0	ALL	ALL	0	0
209	105	66	500.00	LOT	ANY	0	ALL	ALL	0	0
210	105	55	500.00	LOT	ANY	0	ALL	ALL	0	0
211	106	57	500.00	LOT	ANY	0	ALL	ALL	0	0
212	106	56	500.00	LOT	ANY	0	ALL	ALL	0	0
213	107	58	500.00	LOT	ANY	0	ALL	ALL	0	0
214	107	57	500.00	LOT	ANY	0	ALL	ALL	0	0
215	108	59	500.00	LOT	ANY	0	ALL	ALL	0	0
216	108	58	500.00	LOT	ANY	0	ALL	ALL	0	0
217	109	60	500.00	LOT	ANY	0	ALL	ALL	0	0
218	109	59	500.00	LOT	ANY	0	ALL	ALL	0	0
219	110	61	500.00	LOT	ANY	0	ALL	ALL	0	0
220	110	60	500.00	LOT	ANY	0	ALL	ALL	0	0
221	111	62	500.00	LOT	ANY	0	ALL	ALL	0	0
222	111	61	500.00	LOT	ANY	0	ALL	ALL	0	0
223	112	63	500.00	LOT	ANY	0	ALL	ALL	0	0
224	112	62	500.00	LOT	ANY	0	ALL	ALL	0	0
225	113	64	500.00	LOT	ANY	0	ALL	ALL	0	0
226	113	63	500.00	LOT	ANY	0	ALL	ALL	0	0
227	114	65	500.00	LOT	ANY	0	ALL	ALL	0	0
228	114	64	500.00	LOT	ANY	0	ALL	ALL	0	0
229	115	66	500.00	LOT	ANY	0	ALL	ALL	0	0
230	115	65	500.00	LOT	ANY	0	ALL	ALL	0	0
231	116	67	500.00	LOT	ANY	0	ALL	ALL	0	0
232	116	56	500.00	LOT	ANY	0	ALL	ALL	0	0
233	117	68	500.00	LOT	ANY	0	ALL	ALL	0	0
234	117	57	500.00	LOT	ANY	0	ALL	ALL	0	0
235	118	69	500.00	LOT	ANY	0	ALL	ALL	0	0
236	118	58	500.00	LOT	ANY	0	ALL	ALL	0	0
237	119	70	500.00	LOT	ANY	0	ALL	ALL	0	0
238	119	59	500.00	LOT	ANY	0	ALL	ALL	0	0
239	120	71	500.00	LOT	ANY	0	ALL	ALL	0	0
240	120	60	500.00	LOT	ANY	0	ALL	ALL	0	0
241	121	72	500.00	LOT	ANY	0	ALL	ALL	0	0
242	121	61	500.00	LOT	ANY	0	ALL	ALL	0	0
243	122	73	500.00	LOT	ANY	0	ALL	ALL	0	0
244	122	62	500.00	LOT	ANY	0	ALL	ALL	0	0
245	123	74	500.00	LOT	ANY	0	ALL	ALL	0	0
246	123	63	500.00	LOT	ANY	0	ALL	ALL	0	0
247	124	75	500.00	LOT	ANY	0	ALL	ALL	0	0
248	124	64	500.00	LOT	ANY	0	ALL	ALL	0	0
249	125	76	500.00	LOT	ANY	0	ALL	ALL	0	0
250	125	65	500.00	LOT	ANY	0	ALL	ALL	0	0
251	126	77	500.00	LOT	ANY	0	ALL	ALL	0	0
252	126	66	500.00	LOT	ANY	0	ALL	ALL	0	0
253	127	68	500.00	LOT	ANY	0	ALL	ALL	0	0
254	127	67	500.00	LOT	ANY	0	ALL	ALL	0	0
255	128	69	500.00	LOT	ANY	0	ALL	ALL	0	0
256	128	68	500.00	LOT	ANY	0	ALL	ALL	0	0
257	129	70	500.00	LOT	ANY	0	ALL	ALL	0	0
258	129	69	500.00	LOT	ANY	0	ALL	ALL	0	0
259	130	71	500.00	LOT	ANY	0	ALL	ALL	0	0
260	130	70	500.00	LOT	ANY	0	ALL	ALL	0	0
261	131	72	500.00	LOT	ANY	0	ALL	ALL	0	0
262	131	71	500.00	LOT	ANY	0	ALL	ALL	0	0
263	132	73	500.00	LOT	ANY	0	ALL	ALL	0	0
264	132	72	500.00	LOT	ANY	0	ALL	ALL	0	0
265	133	74	500.00	LOT	ANY	0	ALL	ALL	0	0
266	133	73	500.00	LOT	ANY	0	ALL	ALL	0	0
267	134	75	500.00	LOT	ANY	0	ALL	ALL	0	0
268	134	74	500.00	LOT	ANY	0	ALL	ALL	0	0
269	135	76	500.00	LOT	ANY	0	ALL	ALL	0	0
270	135	75	500.00	LOT	ANY	0	ALL	ALL	0	0
271	136	77	500.00	LOT	ANY	0	ALL	ALL	0	0
272	136	76	500.00	LOT	ANY	0	ALL	ALL	0	0
273	137	78	500.00	LOT	ANY	0	ALL	ALL	0	0
274	137	67	500.00	LOT	ANY	0	ALL	ALL	0	0
275	138	79	500.00	LOT	ANY	0	ALL	ALL	0	0
276	138	68	500.00	LOT	ANY	0	ALL	ALL	0	0
277	139	80	500.00	LOT	ANY	0	ALL	ALL	0	0
278	139	69	500.00	LOT	ANY	0	ALL	ALL	0	0
279	140	81	500.00	LOT	ANY	0	ALL	ALL	0	0
280	140	70	500.00	LOT	ANY	0	ALL	ALL	0	0
281	141	82	500.00	LOT	ANY	0	ALL	ALL	0	0
282	141	71	500.00	LOT	ANY	0	ALL	ALL	0	0
283	142	83	500.00	LOT	ANY	0	ALL	ALL	0	0
284	142	72	500.00	LOT	ANY	0	ALL	ALL	0	0
285	143	84	500.00	LOT	ANY	0	ALL	ALL	0	0
286	143	73	500.00	LOT	ANY	0	ALL	ALL	0	0
287	144	85	500.00	LOT	ANY	0	ALL	ALL	0	0
288	144	74	500.00	LOT	ANY	0	ALL	ALL	0	0
289	145	86	500.00	LOT	ANY	0	ALL	ALL	0	0
290	145	75	500.00	LOT	ANY	0	ALL	ALL	0	0
291	146	87	500.00	LOT	ANY	0	ALL	ALL	0	0
292	146	76	500.00	LOT	ANY	0	ALL	ALL	0	0
293	147	88	500.00	LOT	ANY	0	ALL	ALL	0	0
294	147	77	500.00	LOT	ANY	0	ALL	ALL	0	0
295	148	79	500.00	LOT	ANY	0	ALL	ALL	0	0
296	148	78	500.00	LOT	ANY	0	ALL	ALL	0	0
297	149	80	500.00	LOT	ANY	0	ALL	ALL	0	0
298	149	79	500.00	LOT	ANY	0	ALL	ALL	0	0
299	150	81	500.00	LOT	ANY	0	ALL	ALL	0	0
300	150	80	500.00	LOT	ANY	0	ALL	ALL	0	0
301	151	82	500.00	LOT	ANY	0	ALL	ALL	0	0
302	151	81	500.00	LOT	ANY	0	ALL	ALL	0	0
303	152	83	500.00	LOT	ANY	0	ALL	ALL	0	0
304	152	82	500.00	LOT	ANY	0	ALL	ALL	0	0
305	153	84	500.00	LOT	ANY	0	ALL	ALL	0	0
306	153	83	500.00	LOT	ANY	0	ALL	ALL	0	0
307	154	85	500.00	LOT	ANY	0	ALL	ALL	0	0
308	154	84	500.00	LOT	ANY	0	ALL	ALL	0	0
309	155	86	500.00	LOT	ANY	0	ALL	ALL	0	0
310	155	85	500.00	LOT	ANY	0	ALL	ALL	0	0
311	156	87	500.00	LOT	ANY	0	ALL	ALL	0	0
312	156	86	500.00	LOT	ANY	0	ALL	ALL	0	0
313	157	88	500.00	LOT	ANY	0	ALL	ALL	0	0
314	157	87	500.00	LOT	ANY	0	ALL	ALL	0	0
315	158	89	500.00	LOT	ANY	0	ALL	ALL	0	0
316	158	78	500.00	LOT	ANY	0	ALL	ALL	0	0
317	159	90	500.00	LOT	ANY	0	ALL	ALL	0	0
318	159	79	500.00	LOT	ANY	0	ALL	ALL	0	0
319	160	91	500.00	LOT	ANY	0	ALL	ALL	0	0
320	160	80	500.00	LOT	ANY	0	ALL	ALL	0	0
321	161	92	500.00	LOT	ANY	0	ALL	ALL	0	0
322	161	81	500.00	LOT	ANY	0	ALL	ALL	0	0
323	162	93	500.00	LOT	ANY	0	ALL	ALL	0	0
324	162	82	500.00	LOT	ANY	0	ALL	ALL	0	0
325	163	94	500.00	LOT	ANY	0	ALL	ALL	0	0
326	163	83	500.00	LOT	ANY	0	ALL	ALL	0	0
327	164	95	500.00	LOT	ANY	0	ALL	ALL	0	0
328	164	84	500.00	LOT	ANY	0	ALL	ALL	0	0
329	165	96	500.00	LOT	ANY	0	ALL	ALL	0	0
330	165	85	500.00	LOT	ANY	0	ALL	ALL	0	0
331	166	97	500.00	LOT	ANY	0	ALL	ALL	0	0
332	166	86	500.00	LOT	ANY	0	ALL	ALL	0	0
333	167	98	500.00	LOT	ANY	0	ALL	ALL	0	0
334	167	87	500.00	LOT	ANY	0	ALL	ALL	0	0
335	168	99	500.00	LOT	ANY	0	ALL	ALL	0	0
336	168	88	500.00	LOT	ANY	0	ALL	ALL	0	0
337	169	90	500.00	LOT	ANY	0	ALL	ALL	0	0
338	169	89	500.00	LOT	ANY	0	ALL	ALL	0	0
339	170	91	500.00	LOT	ANY	0	ALL	ALL	0	0
340	170	90	500.00	LOT	ANY	0	ALL	ALL	0	0
341	171	92	500.00	LOT	ANY	0	ALL	ALL	0	0
342	171	91	500.00	LOT	ANY	0	ALL	ALL	0	0
343	172	93	500.00	LOT	ANY	0	ALL	ALL	0	0
344	172	92	500.00	LOT	ANY	0	ALL	ALL	0	0
345	173	94	500.00	LOT	ANY	0	ALL	ALL	0	0
346	173	93	500.00	LOT	ANY	0	ALL	ALL	0	0
347	174	95	500.00	LOT	ANY	0	ALL	ALL	0	0
348	174	94	500.00	LOT	ANY	0	ALL	ALL	0	0
349	175	96	500.00	LOT	ANY	0	ALL	ALL	0	0
350	175	95	500.00	LOT	ANY	0	ALL	ALL	0	0
351	176	97	500.00	LOT	ANY	0	ALL	ALL	0	0
352	176	96	500.00	LOT	ANY	0	ALL	ALL	0	0
353	177	98	500.00	LOT	ANY	0	ALL	ALL	0	0
354	177	97	500.00	LOT	ANY	0	ALL	ALL	0	0
355	178	99	500.00	LOT	ANY	0	ALL	ALL	0	0
356	178	98	500.00	LOT	ANY	0	ALL	ALL	0	0
357	179	100	500.00	LOT	ANY	0	ALL	ALL	0	0
358	179	89	500.00	LOT	ANY	0	ALL	ALL	0	0
359	180	101	500.00	LOT	ANY	0	ALL	ALL	0	0
360	180	90	500.00	LOT	ANY	0	ALL	ALL	0	0
361	181	102	500.00	LOT	ANY	0	ALL	ALL	0	0
362	181	91	500.00	LOT	ANY	0	ALL	ALL	0	0
363	182	103	500.00	LOT	ANY	0	ALL	ALL	0	0
364	182	92	500.00	LOT	ANY	0	ALL	ALL	0	0
365	183	104	500.00	LOT	ANY	0	ALL	ALL	0	0
366	183	93	500.00	LOT	ANY	0	ALL	ALL	0	0
367	184	105	500.00	LOT	ANY	0	ALL	ALL	0	0
368	184	94	500.00	LOT	ANY	0	ALL	ALL	0	0
369	185	106	500.00	LOT	ANY	0	ALL	ALL	0	0
370	185	95	500.00	LOT	ANY	0	ALL	ALL	0	0
371	186	107	500.00	LOT	ANY	0	ALL	ALL	0	0
372	186	96	500.00	LOT	ANY	0	ALL	ALL	0	0
373	187	108	500.00	LOT	ANY	0	ALL	ALL	0	0
374	187	97	500.00	LOT	ANY	0	ALL	ALL	0	0
375	188	109	500.00	LOT	ANY	0	ALL	ALL	0	0
376	188	98	500.00	LOT	ANY	0	ALL	ALL	0	0
377	189	110	500.00	LOT	ANY	0	ALL	ALL	0	0
378	189	99	500.00	LOT	ANY	0	ALL	ALL	0	0
379	190	101	500.00	LOT	ANY	0	ALL	ALL	0	0
380	190	100	500.00	LOT	ANY	0	ALL	ALL	0	0
381	191	102	500.00	LOT	ANY	0	ALL	ALL	0	0
382	191	101	500.00	LOT	ANY	0	ALL	ALL	0	0
383	192	103	500.00	LOT	ANY	0	ALL	ALL	0	0
384	192	102	500.00	LOT	ANY	0	ALL	ALL	0	0
385	193	104	500.00	LOT	ANY	0	ALL	ALL	0	0
386	193	103	500.00	LOT	ANY	0	ALL	ALL	0	0
387	194	105	500.00	LOT	ANY	0	ALL	ALL	0	0
388	194	104	500.00	LOT	ANY	0	ALL	ALL	0	0
389	195	106	500.00	LOT	ANY	0	ALL	ALL	0	0
390	195	105	500.00	LOT	ANY	0	ALL	ALL	0	0
391	196	107	500.00	LOT	ANY	0	ALL	ALL	0	0
392	196	106	500.00	LOT	ANY	0	ALL	ALL	0	0
393	197	108	500.00	LOT	ANY	0	ALL	ALL	0	0
394	197	107	500.00	LOT	ANY	0	ALL	ALL	0	0
395	198	109	500.00	LOT	ANY	0	ALL	ALL	0	0
396	198	108	500.00	LOT	ANY	0	ALL	ALL	0	0
397	199	110	500.00	LOT	ANY	0	ALL	ALL	0	0
398	199	109	500.00	LOT	ANY	0	ALL	ALL	0	0
399	200	111	500.00	LOT	ANY	0	ALL	ALL	0	0
400	200	100	500.00	LOT	ANY	0	ALL	ALL	0	0
401	201	112	500.00	LOT	ANY	0	ALL	ALL	0	0
402	201	101	500.00	LOT	ANY	0	ALL	ALL	0	0
403	202	113	500.00	LOT	ANY	0	ALL	ALL	0	0
404	202	102	500.00	LOT	ANY	0	ALL	ALL	0	0
405	203	114	500.00	LOT	ANY	0	ALL	ALL	0	0
406	203	103	500.00	LOT	ANY	0	ALL	ALL	0	0
407	204	115	500.00	LOT	ANY	0	ALL	ALL	0	0
408	204	104	500.00	LOT	ANY	0	ALL	ALL	0	0
409	205	116	500.00	LOT	ANY	0	ALL	ALL	0	0
410	205	105	500.00	LOT	ANY	0	ALL	ALL	0	0
411	206	117	500.00	LOT	ANY	0	ALL	ALL	0	0
412	206	106	500.00	LOT	ANY	0	ALL	ALL	0	0
413	207	118	500.00	LOT	ANY	0	ALL	ALL	0	0
414	207	107	500.00	LOT	ANY	0	ALL	ALL	0	0
415	208	119	500.00	LOT	ANY	0	ALL	ALL	0	0
416	208	108	500.00	LOT	ANY	0	ALL	ALL	0	0
417	209	120	500.00	LOT	ANY	0	ALL	ALL	0	0
418	209	109	500.00	LOT	ANY	0	ALL	ALL	0	0
419	210	121	500.00	LOT	ANY	0	ALL	ALL	0	0
420	210	110	500.00	LOT	ANY	0	ALL	ALL	0	0
421	211	112	500.00	LOT	ANY	0	ALL	ALL	0	0
422	211	111	500.00	LOT	ANY	0	ALL	ALL	0	0
423	212	113	500.00	LOT	ANY	0	ALL	ALL	0	0
424	212	112	500.00	LOT	ANY	0	ALL	ALL	0	0
425	213	114	500.00	LOT	ANY	0	ALL	ALL	0	0
426	213	113	500.00	LOT	ANY	0	ALL	ALL	0	0
427	214	115	500.00	LOT	ANY	0	ALL	ALL	0	0
428	214	114	500.00	LOT	ANY	0	ALL	ALL	0	0
429	215	116	500.00	LOT	ANY	0	ALL	ALL	0	0
430	215	115	500.00	LOT	ANY	0	ALL	ALL	0	0
431	216	117	500.00	LOT	ANY	0	ALL	ALL	0	0
432	216	116	500.00	LOT	ANY	0	ALL	ALL	0	0
433	217	118	500.00	LOT	ANY	0	ALL	ALL	0	0
434	217	117	500.00	LOT	ANY	0	ALL	ALL	0	0
