Link	Anode	Bnode	Lanes_AB	Lanes_BA	Length	Use	Type	Speed_AB	Speed_BA
45	25	26	4	4	1000	ANY	PRINCIPAL	22.5	22.5
46	26	27	4	4	1000	ANY	PRINCIPAL	22.5	22.5
47	27	28	4	4	1000	ANY	PRINCIPAL	22.5	22.5
48	28	29	4	4	1000	ANY	PRINCIPAL	22.5	22.5
49	29	30	4	4	1000	ANY	PRINCIPAL	22.5	22.5
50	30	31	4	4	1000	ANY	PRINCIPAL	22.5	22.5
51	31	32	4	4	1000	ANY	PRINCIPAL	22.5	22.5
52	32	33	4	4	1000	ANY	PRINCIPAL	22.5	22.5
53	23	34	2	2	1000	ANY	MAJOR	15	15
54	24	35	2	2	1000	ANY	MAJOR	15	15
55	25	36	4	4	1000	ANY	PRINCIPAL	22.5	22.5
56	26	37	2	2	1000	ANY	MAJOR	15	15
57	27	38	2	2	1000	ANY	MAJOR	15	15
58	28	39	4	4	1000	ANY	PRINCIPAL	22.5	22.5
59	29	40	2	2	1000	ANY	MAJOR	15	15
60	30	41	2	2	1000	ANY	MAJOR	15	15
61	31	42	4	4	1000	ANY	PRINCIPAL	22.5	22.5
62	32	43	2	2	1000	ANY	MAJOR	15	15
63	33	44	2	2	1000	ANY	MAJOR	15	15
64	34	35	2	2	1000	ANY	MAJOR	15	15
65	35	36	2	2	1000	ANY	MAJOR	15	15
66	36	37	2	2	1000	ANY	MAJOR	15	15
67	37	38	2	2	1000	ANY	MAJOR	15	15
68	38	39	2	2	1000	ANY	MAJOR	15	15
69	39	40	2	2	1000	ANY	MAJOR	15	15
70	40	41	2	2	1000	ANY	MAJOR	15	15
71	41	42	2	2	1000	ANY	MAJOR	15	15
72	42	43	2	2	1000	ANY	MAJOR	15	15
73	43	44	2	2	1000	ANY	MAJOR	15	15
74	34	45	2	2	1000	ANY	MAJOR	15	15
75	35	46	2	2	1000	ANY	MAJOR	15	15
76	36	47	4	4	1000	ANY	PRINCIPAL	22.5	22.5
77	37	48	2	2	1000	ANY	MAJOR	15	15
78	38	49	2	2	1000	ANY	MAJOR	15	15
79	39	50	4	4	1000	ANY	PRINCIPAL	22.5	22.5
80	40	51	2	2	1000	ANY	MAJOR	15	15
81	41	52	2	2	1000	ANY	MAJOR	15	15
82	42	53	4	4	1000	ANY	PRINCIPAL	22.5	22.5
83	43	54	2	2	1000	ANY	MAJOR	15	15
84	44	55	2	2	1000	ANY	MAJOR	15	15
85	45	46	2	2	1000	ANY	MAJOR	15	15
86	46	47	2	2	1000	ANY	MAJOR	15	15
87	47	48	2	2	1000	ANY	MAJOR	15	15
88	48	49	2	2	1000	ANY	MAJOR	15	15
89	49	50	2	2	1000	ANY	MAJOR	15	15
90	50	51	2	2	1000	ANY	MAJOR	15	15
91	51	52	2	2	1000	ANY	MAJOR	15	15
92	52	53	2	2	1000	ANY	MAJOR	15	15
93	53	54	2	2	1000	ANY	MAJOR	15	15
94	54	55	2	2	1000	ANY	MAJOR	15	15
95	45	56	2	2	1000	ANY	MAJOR	15	15
96	46	57	2	2	1000	ANY	MAJOR	15	15
97	47	58	4	4	1000	ANY	PRINCIPAL	22.5	22.5
98	48	59	2	2	1000	ANY	MAJOR	15	15
99	49	60	2	2	1000	ANY	MAJOR	15	15
100	50	61	4	4	1000	ANY	PRINCIPAL	22.5	22.5
101	51	62	2	2	1000	ANY	MAJOR	15	15
102	52	63	2	2	1000	ANY	MAJOR	15	15
103	53	64	4	4	1000	ANY	PRINCIPAL	22.5	22.5
104	54	65	2	2	1000	ANY	MAJOR	15	15
105	55	66	2	2	1000	ANY	MAJOR	15	15
106	56	57	4	4	1000	ANY	PRINCIPAL	22.5	22.5
107	57	58	4	4	1000	ANY	PRINCIPAL	22.5	22.5
108	58	59	4	4	1000	ANY	PRINCIPAL	22.5	22.5
109	59	60	4	4	1000	ANY	PRINCIPAL	22.5	22.5
110	60	61	4	4	1000	ANY	PRINCIPAL	22.5	22.5
111	61	62	4	4	1000	ANY	PRINCIPAL	22.5	22.5
112	62	63	4	4	1000	ANY	PRINCIPAL	22.5	22.5
113	63	64	4	4	1000	ANY	PRINCIPAL	22.5	22.5
114	64	65	4	4	1000	ANY	PRINCIPAL	22.5	22.5
115	65	66	4	4	1000	ANY	PRINCIPAL	22.5	22.5
116	56	67	2	2	1000	ANY	MAJOR	15	15
117	57	68	2	2	1000	ANY	MAJOR	15	15
118	58	69	4	4	1000	ANY	PRINCIPAL	22.5	22.5
119	59	70	2	2	1000	ANY	MAJOR	15	15
120	60	71	2	2	1000	ANY	MAJOR	15	15
121	61	72	4	4	1000	ANY	PRINCIPAL	22.5	22.5
122	62	73	2	2	1000	ANY	MAJOR	15	15
123	63	74	2	2	1000	ANY	MAJOR	15	15
124	64	75	4	4	1000	ANY	PRINCIPAL	22.5	22.5
125	65	76	2	2	1000	ANY	MAJOR	15	15
126	66	77	2	2	1000	ANY	MAJOR	15	15
127	67	68	2	2	1000	ANY	MAJOR	15	15
128	68	69	2	2	1000	ANY	MAJOR	15	15
129	69	70	2	2	1000	ANY	MAJOR	15	15
130	70	71	2	2	1000	ANY	MAJOR	15	15
131	71	72	2	2	1000	ANY	MAJOR	15	15
132	72	73	2	2	1000	ANY	MAJOR	15	15
133	73	74	2	2	1000	ANY	MAJOR	15	15
134	74	75	2	2	1000	ANY	MAJOR	15	15
135	75	76	2	2	1000	ANY	MAJOR	15	15
136	76	77	2	2	1000	ANY	MAJOR	15	15
137	67	78	2	2	1000	ANY	MAJOR	15	15
138	68	79	2	2	1000	ANY	MAJOR	15	15
139	69	80	4	4	1000	ANY	PRINCIPAL	22.5	22.5
140	70	81	2	2	1000	ANY	MAJOR	15	15
141	71	82	2	2	1000	ANY	MAJOR	15	15
142	72	83	4	4	1000	ANY	PRINCIPAL	22.5	22.5
143	73	84	2	2	1000	ANY	MAJOR	15	15
144	74	85	2	2	1000	ANY	MAJOR	15	15
145	75	86	4	4	1000	ANY	PRINCIPAL	22.5	22.5
146	76	87	2	2	1000	ANY	MAJOR	15	15
147	77	88	2	2	1000	ANY	MAJOR	15	15
148	78	79	2	2	1000	ANY	MAJOR	15	15
149	79	80	2	2	1000	ANY	MAJOR	15	15
150	80	81	2	2	1000	ANY	MAJOR	15	15
151	81	82	2	2	1000	ANY	MAJOR	15	15
152	82	83	2	2	1000	ANY	MAJOR	15	15
153	83	84	2	2	1000	ANY	MAJOR	15	15
154	84	85	2	2	1000	ANY	MAJOR	15	15
155	85	86	2	2	1000	ANY	MAJOR	15	15
156	86	87	2	2	1000	ANY	MAJOR	15	15
157	87	88	2	2	1000	ANY	MAJOR	15	15
158	78	89	2	2	1000	ANY	MAJOR	15	15
159	79	90	2	2	1000	ANY	MAJOR	15	15
160	80	91	4	4	1000	ANY	PRINCIPAL	22.5	22.5
161	81	92	2	2	1000	ANY	MAJOR	15	15
162	82	93	2	2	1000	ANY	MAJOR	15	15
163	83	94	4	4	1000	ANY	PRINCIPAL	22.5	22.5
164	84	95	2	2	1000	ANY	MAJOR	15	15
165	85	96	2	2	1000	ANY	MAJOR	15	15
166	86	97	4	4	1000	ANY	PRINCIPAL	22.5	22.5
167	87	98	2	2	1000	ANY	MAJOR	15	15
168	88	99	2	2	1000	ANY	MAJOR	15	15
169	89	90	4	4	1000	ANY	PRINCIPAL	22.5	22.5
170	90	91	4	4	1000	ANY	PRINCIPAL	22.5	22.5
171	91	92	4	4	1000	ANY	PRINCIPAL	22.5	22.5
172	92	93	4	4	1000	ANY	PRINCIPAL	22.5	22.5
173	93	94	4	4	1000	ANY	PRINCIPAL	22.5	22.5
174	94	95	4	4	1000	ANY	PRINCIPAL	22.5	22.5
175	95	96	4	4	1000	ANY	PRINCIPAL	22.5	22.5
176	96	97	4	4	1000	ANY	PRINCIPAL	22.5	22.5
177	97	98	4	4	1000	ANY	PRINCIPAL	22.5	22.5
178	98	99	4	4	1000	ANY	PRINCIPAL	22.5	22.5
179	89	100	2	2	1000	ANY	MAJOR	15	15
180	90	101	2	2	1000	ANY	MAJOR	15	15
181	91	102	4	4	1000	ANY	PRINCIPAL	22.5	22.5
182	92	103	2	2	1000	ANY	MAJOR	15	15
183	93	104	2	2	1000	ANY	MAJOR	15	15
184	94	105	4	4	1000	ANY	PRINCIPAL	22.5	22.5
185	95	106	2	2	1000	ANY	MAJOR	15	15
186	96	107	2	2	1000	ANY	MAJOR	15	15
187	97	108	4	4	1000	ANY	PRINCIPAL	22.5	22.5
188	98	109	2	2	1000	ANY	MAJOR	15	15
189	99	110	2	2	1000	ANY	MAJOR	15	15
190	100	101	2	2	1000	ANY	MAJOR	15	15
191	101	102	2	2	1000	ANY	MAJOR	15	15
192	102	103	2	2	1000	ANY	MAJOR	15	15
193	103	104	2	2	1000	ANY	MAJOR	15	15
194	104	105	2	2	1000	ANY	MAJOR	15	15
195	105	106	2	2	1000	ANY	MAJOR	15	15
196	106	107	2	2	1000	ANY	MAJOR	15	15
197	107	108	2	2	1000	ANY	MAJOR	15	15
198	108	109	2	2	1000	ANY	MAJOR	15	15
199	109	110	2	2	1000	ANY	MAJOR	15	15
200	100	111	2	2	1000	ANY	MAJOR	15	15
201	101	112	2	2	1000	ANY	MAJOR	15	15
202	102	113	4	4	1000	ANY	PRINCIPAL	22.5	22.5
203	103	114	2	2	1000	ANY	MAJOR	15	15
204	104	115	2	2	1000	ANY	MAJOR	15	15
205	105	116	4	4	1000	ANY	PRINCIPAL	22.5	22.5
206	106	117	2	2	1000	ANY	MAJOR	15	15
207	107	118	2	2	1000	ANY	MAJOR	15	15
208	108	119	4	4	1000	ANY	PRINCIPAL	22.5	22.5
209	109	120	2	2	1000	ANY	MAJOR	15	15
210	110	121	2	2	1000	ANY	MAJOR	15	15
211	111	112	2	2	1000	ANY	MAJOR	15	15
212	112	113	2	2	1000	ANY	MAJOR	15	15
213	113	114	2	2	1000	ANY	MAJOR	15	15
214	114	115	2	2	1000	ANY	MAJOR	15	15
215	115	116	2	2	1000	ANY	MAJOR	15	15
216	116	117	2	2	1000	ANY	MAJOR	15	15
217	117	118	2	2	1000	ANY	MAJOR	15	15
218	118	119	2	2	1000	ANY	MAJOR	15	15
219	119	120	2	2	1000	ANY	MAJOR	15	15
220	120	121	2	2	1000	ANY	MAJOR	15	15
